	sample_id	prompt_target	position_target	target_baseline	object	subject	generations_baseline	generations_baseline_str	is_correct_baseline	prompt_source	position_source	source_cropped_toks
0	0	Among the superclasses of animal, bird, fish, vegetable, flower, fruit, the superclass of x	-1	Among the superclasses of animal, bird, fish, vegetable, flower, fruit, the superclass of tiger	animal	tiger	[' is', ' the', ' most', ' powerful', '.', ' It', ' is', ' the', ' most', ' powerful', ' animal', ' in', ' the', ' world', '.', ' It', ' is', ' the', ' most', ' powerful']	 is  the  most  powerful .  It  is  the  most  powerful  animal  in  the  world .  It  is  the  most  powerful	True	 Occasionally, male tigers participate	3	[' Occasionally', ',', ' male', ' tiger']
1	0	Among the superclasses of animal, bird, fish, vegetable, flower, fruit, the superclass of x	-1	Among the superclasses of animal, bird, fish, vegetable, flower, fruit, the superclass of tiger	animal	tiger	[' is', ' the', ' most', ' powerful', '.', ' It', ' is', ' the', ' most', ' powerful', ' animal', ' in', ' the', ' world', '.', ' It', ' is', ' the', ' most', ' powerful']	 is  the  most  powerful .  It  is  the  most  powerful  animal  in  the  world .  It  is  the  most  powerful	True	 The British hunted tigers, not just to	3	[' The', ' British', ' hunted', ' tiger']
2	0	Among the superclasses of animal, bird, fish, vegetable, flower, fruit, the superclass of x	-1	Among the superclasses of animal, bird, fish, vegetable, flower, fruit, the superclass of tiger	animal	tiger	[' is', ' the', ' most', ' powerful', '.', ' It', ' is', ' the', ' most', ' powerful', ' animal', ' in', ' the', ' world', '.', ' It', ' is', ' the', ' most', ' powerful']	 is  the  most  powerful .  It  is  the  most  powerful  animal  in  the  world .  It  is  the  most  powerful	True	 in effect. A live tiger was also used for the	5	[' in', ' effect', '.', ' A', ' live', ' tiger']
3	0	Among the superclasses of animal, bird, fish, vegetable, flower, fruit, the superclass of x	-1	Among the superclasses of animal, bird, fish, vegetable, flower, fruit, the superclass of tiger	animal	tiger	[' is', ' the', ' most', ' powerful', '.', ' It', ' is', ' the', ' most', ' powerful', ' animal', ' in', ' the', ' world', '.', ' It', ' is', ' the', ' most', ' powerful']	 is  the  most  powerful .  It  is  the  most  powerful  animal  in  the  world .  It  is  the  most  powerful	True	 mackerel shark, tiger shark and spiny	5	[' mac', 'ke', 'rel', ' shark', ',', ' tiger']
4	0	Among the superclasses of animal, bird, fish, vegetable, flower, fruit, the superclass of x	-1	Among the superclasses of animal, bird, fish, vegetable, flower, fruit, the superclass of tiger	animal	tiger	[' is', ' the', ' most', ' powerful', '.', ' It', ' is', ' the', ' most', ' powerful', ' animal', ' in', ' the', ' world', '.', ' It', ' is', ' the', ' most', ' powerful']	 is  the  most  powerful .  It  is  the  most  powerful  animal  in  the  world .  It  is  the  most  powerful	True	" During the 1980s, a tiger named ""Genghis"""	6	[' During', ' the', ' 1980', 's', ',', ' a', ' tiger']
5	1	Among the superclasses of animal, bird, fish, vegetable, flower, fruit, the superclass of x	-1	Among the superclasses of animal, bird, fish, vegetable, flower, fruit, the superclass of eagle	bird	eagle	[' is', ' the', ' most', ' powerful', '.', ' It', ' is', ' the', ' most', ' powerful', ' of', ' all', ' the', ' animals', '.', ' It', ' is', ' the', ' most', ' powerful']	 is  the  most  powerful .  It  is  the  most  powerful  of  all  the  animals .  It  is  the  most  powerful	False	 liberty pole; an eagle spreading its wings	4	[' liberty', ' pole', ';', ' an', ' eagle']
6	1	Among the superclasses of animal, bird, fish, vegetable, flower, fruit, the superclass of x	-1	Among the superclasses of animal, bird, fish, vegetable, flower, fruit, the superclass of eagle	bird	eagle	[' is', ' the', ' most', ' powerful', '.', ' It', ' is', ' the', ' most', ' powerful', ' of', ' all', ' the', ' animals', '.', ' It', ' is', ' the', ' most', ' powerful']	 is  the  most  powerful .  It  is  the  most  powerful  of  all  the  animals .  It  is  the  most  powerful	False	 the water, and an eagle over a waterfall	5	[' the', ' water', ',', ' and', ' an', ' eagle']
7	1	Among the superclasses of animal, bird, fish, vegetable, flower, fruit, the superclass of x	-1	Among the superclasses of animal, bird, fish, vegetable, flower, fruit, the superclass of eagle	bird	eagle	[' is', ' the', ' most', ' powerful', '.', ' It', ' is', ' the', ' most', ' powerful', ' of', ' all', ' the', ' animals', '.', ' It', ' is', ' the', ' most', ' powerful']	 is  the  most  powerful .  It  is  the  most  powerful  of  all  the  animals .  It  is  the  most  powerful	False		1	['e', 'agle']
8	1	Among the superclasses of animal, bird, fish, vegetable, flower, fruit, the superclass of x	-1	Among the superclasses of animal, bird, fish, vegetable, flower, fruit, the superclass of eagle	bird	eagle	[' is', ' the', ' most', ' powerful', '.', ' It', ' is', ' the', ' most', ' powerful', ' of', ' all', ' the', ' animals', '.', ' It', ' is', ' the', ' most', ' powerful']	 is  the  most  powerful .  It  is  the  most  powerful  of  all  the  animals .  It  is  the  most  powerful	False	 globe is the eagle from the Seal of	3	[' globe', ' is', ' the', ' eagle']
9	1	Among the superclasses of animal, bird, fish, vegetable, flower, fruit, the superclass of x	-1	Among the superclasses of animal, bird, fish, vegetable, flower, fruit, the superclass of eagle	bird	eagle	[' is', ' the', ' most', ' powerful', '.', ' It', ' is', ' the', ' most', ' powerful', ' of', ' all', ' the', ' animals', '.', ' It', ' is', ' the', ' most', ' powerful']	 is  the  most  powerful .  It  is  the  most  powerful  of  all  the  animals .  It  is  the  most  powerful	False	 eastern imperial eagle have small,	2	[' eastern', ' imperial', ' eagle']
10	2	Among the superclasses of animal, bird, fish, vegetable, flower, fruit, the superclass of x	-1	Among the superclasses of animal, bird, fish, vegetable, flower, fruit, the superclass of salmon	fish	salmon	[' is', ' the', ' most', ' important', '.', ' It', ' is', ' the', ' most', ' important', ' because', ' it', ' is', ' the', ' most', ' numerous', '.', ' It', ' is', ' the']	 is  the  most  important .  It  is  the  most  important  because  it  is  the  most  numerous .  It  is  the	False	 is a renowned salmon fishing river	3	[' is', ' a', ' renowned', ' salmon']
11	2	Among the superclasses of animal, bird, fish, vegetable, flower, fruit, the superclass of x	-1	Among the superclasses of animal, bird, fish, vegetable, flower, fruit, the superclass of salmon	fish	salmon	[' is', ' the', ' most', ' important', '.', ' It', ' is', ' the', ' most', ' important', ' because', ' it', ' is', ' the', ' most', ' numerous', '.', ' It', ' is', ' the']	 is  the  most  important .  It  is  the  most  important  because  it  is  the  most  numerous .  It  is  the	False	 extremely difficult for salmon to access because	3	[' extremely', ' difficult', ' for', ' salmon']
12	2	Among the superclasses of animal, bird, fish, vegetable, flower, fruit, the superclass of x	-1	Among the superclasses of animal, bird, fish, vegetable, flower, fruit, the superclass of salmon	fish	salmon	[' is', ' the', ' most', ' important', '.', ' It', ' is', ' the', ' most', ' important', ' because', ' it', ' is', ' the', ' most', ' numerous', '.', ' It', ' is', ' the']	 is  the  most  important .  It  is  the  most  important  because  it  is  the  most  numerous .  It  is  the	False	 anadromous fish — salmon, steelhead,	6	[' an', 'ad', 'rom', 'ous', ' fish', ' —', ' salmon']
13	2	Among the superclasses of animal, bird, fish, vegetable, flower, fruit, the superclass of x	-1	Among the superclasses of animal, bird, fish, vegetable, flower, fruit, the superclass of salmon	fish	salmon	[' is', ' the', ' most', ' important', '.', ' It', ' is', ' the', ' most', ' important', ' because', ' it', ' is', ' the', ' most', ' numerous', '.', ' It', ' is', ' the']	 is  the  most  important .  It  is  the  most  important  because  it  is  the  most  numerous .  It  is  the	False	 reported Rogue River salmon catch in 1877,	3	[' reported', ' Rogue', ' River', ' salmon']
14	2	Among the superclasses of animal, bird, fish, vegetable, flower, fruit, the superclass of x	-1	Among the superclasses of animal, bird, fish, vegetable, flower, fruit, the superclass of salmon	fish	salmon	[' is', ' the', ' most', ' important', '.', ' It', ' is', ' the', ' most', ' important', ' because', ' it', ' is', ' the', ' most', ' numerous', '.', ' It', ' is', ' the']	 is  the  most  important .  It  is  the  most  important  because  it  is  the  most  numerous .  It  is  the	False	 (Oncorhynchus mykiss), coho salmon (Oncorhynchus	12	[' (', 'On', 'cor', 'h', 'yn', 'ch', 'us', ' my', 'kiss', '),', ' co', 'ho', ' salmon']
